condition,clicked,framing_gain,framing_loss,framing_neutral,urgency_noturgent,urgency_urgent
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
